Year,Fort Chip DDF,Fort Verm DDF,Fort Smith,GP-BL Precip pct Avg,BL Precip,Freezeup,Melt Test,Hudsons Hope prev. Nov. Flow,Hudsons Hope prev. Dec. Flow,Peace River prev. Nov. Flow,Peace River prev. Dec. Flow,Flood
1991,-2969.75,-2555.2,-3146.45,1.036840358,157.8,214.23,15,1440,1670,1630,1810,0
1992,-2618.4,-2124.65,-2852.25,1.152339861,185.4,215.21,30,1590,1680,1810,1880,0
1993,-2058.75,-1829.75,,0.797212081,113.6,214.72,22,1640,1830,1890,1970,0
1994,-2808.471151,-2579.471151,-2945.796587,1.179555261,158.3,213.57,17,1680,1860,1930,2040,0
1995,-2425.350077,-2263.3,-2528.2,0.909392632,161.7,214.42,18,1600,1660,1850,1870,0
1996,-3115.95,-2970.4,-3125.05,1.356123465,207.5,212.38,16,1190,1620,1340,1710,1
1997,-2904.55,-2697.7,-2940.975,1.198805178,169.6,214.22,16,1320,1460,1670,1880,1
1998,-2018.35,-1852.8,-2090.8,0.513109857,78.1,215.92,19,1740,1860,2280,2120,0
1999,-2080.65,-1922.15,-2032.1,0.906073681,142.6,214.62,15,1660,1750,1950,2080,0
2000,-2217.9,-1840.6,-2233.25,0.733488218,110.5,213.12,26,859,1410,954,1580,0
2001,-2368.2,-1994.2,-2405,0.428144706,67.5,215.22,19,1660,1580,1970,2010,0
2002,-2805.75,-2410.65,-2913.05,0.95784932,148.3,214.19,19,1370,1840,1600,2040,0
2003,-2720.25,-2107.85,-2714.5,1.174244939,173.9,215.22,22,1580,1580,1800,1730,0
2004,-2580,-2175.95,-2625.85,0.756057086,97.3,214.62,23,1300,1590,1420,1650,0
2005,-2612.4,-2211.05,-2667.2,0.915366744,119.8,214.12,21,1140,1420,1690,1780,0
2006,-1615.178908,-1503.65,-1691.85,0.360438102,70.5,215.12,19,1390,1670,1710,1930,0
2007,-2569.383829,-2340.55,-2622.15,1.376037172,181.6,213.62,15,1200,1550,1270,1710,0
2008,-2881.4,-2179.2,-2891.2,0.49385994,74,214.63,21,1530,1750,1860,1960,0
2009,-2751.318865,-2335.85,-2819.55,0.941918354,140.7,214.06,20,1300,1630,1490,1780,0
2010,-1914.528831,-1848.85,-2073.8,0.663790242,79.2,213.65,13,1260,1610,1390,1690,0
2011,-2611.8,-2338.5,-2748.65,1.193494856,180.4,213.61,15,971,1340,1200,1760,0
2012,-2083.303022,-1786.55,-2267.95,0.765350149,108.9,214.47,22,1350,1540,1590,1830,0
2013,-2951.55,-2586.45,-3052.85,1.146365748,149.2,213.42,13,1140,1200,1400,1540,0
2014,-3290.4,-2541,-3309.85,1.540657152,232.1,213.64,21,1190,1420,1430,1670,1
2015,-2599.8,-2118.45,-2730.491445,1.630268835,246.2,212.99,23,981,1280,1170,1550,0
2016,-2086.75,-1671.05,-2202.734928,0.770660471,122.9,213.88,16,1360,1540,1530,1680,0
2017,-2140.873813,-1981.25,-2335.624161,0.813143047,136.9,215.33,29,1360,1710,2220,2010,0
2018,-2807.264763,-2448.65,-2854.918038,1.350149353,203.4,214.71,11,1470,1600,,,0
2019,-2429.2,-2257.95,,0.984400929,148.3,213.4,29,1170,1180,,,0
2020,-2564,-2420,,0.9956854,150,214.9,13,1630,1720,,,0
