Time,PDO_SLP,PDO_SST
Apr1942-Mar1943,0.30708,0.14431
Apr1943-Mar1944,0.15279,0.07184
Apr1944-Mar1945,0.06409,-0.00507
Apr1945-Mar1946,0.03285,0.00814
Apr1946-Mar1947,-0.04409,-0.00826
Apr1947-Mar1948,-0.10985,-0.03706
Apr1948-Mar1949,-0.16048,-0.07686
Apr1949-Mar1950,-0.12185,-0.06644
Apr1950-Mar1951,-0.07951,-0.0782
Apr1951-Mar1952,-0.04812,-0.05905
Apr1952-Mar1953,-0.04264,-0.05297
Apr1953-Mar1954,-0.07109,-0.06599
Apr1954-Mar1955,-0.11443,-0.10019
Apr1955-Mar1956,-0.0678,-0.0642
Apr1956-Mar1957,-0.05084,-0.04063
Apr1957-Mar1958,-0.00876,-0.01227
Apr1958-Mar1959,0.11882,0.04951
Apr1959-Mar1960,0.10288,0.06768
Apr1960-Mar1961,0.01252,0.02233
Apr1961-Mar1962,-0.01861,0.00475
Apr1962-Mar1963,-0.06542,-0.02919
Apr1963-Mar1964,-0.08108,-0.01393
Apr1964-Mar1965,-0.0617,0.00331
Apr1965-Mar1966,-0.03729,-0.0063
Apr1966-Mar1967,-0.06812,-0.00887
Apr1967-Mar1968,0.0586,0.04711
Apr1968-Mar1969,-0.02686,-0.00546
Apr1969-Mar1970,-0.05203,-0.03809
Apr1970-Mar1971,-0.01544,0.01653
Apr1971-Mar1972,-0.01823,-0.01662
Apr1972-Mar1973,-0.10933,-0.06403
Apr1973-Mar1974,-0.08571,-0.0708
Apr1974-Mar1975,0.04664,-0.01551
Apr1975-Mar1976,0.08602,-0.01929
Apr1976-Mar1977,0.12086,0.02348
Apr1977-Mar1978,0.18937,0.08036
Apr1978-Mar1979,0.3343,0.14655
Apr1979-Mar1980,0.27386,0.13882
Apr1980-Mar1981,0.36473,0.17511
Apr1981-Mar1982,0.41712,0.21653
Apr1982-Mar1983,0.3554,0.19598
Apr1983-Mar1984,0.30774,0.18153
Apr1984-Mar1985,0.38362,0.21539
Apr1985-Mar1986,0.28539,0.22353
Apr1986-Mar1987,0.21138,0.17211
Apr1987-Mar1988,0.21694,0.16441
Apr1988-Mar1989,0.17235,0.17072
Apr1989-Mar1990,0.09053,0.1456
Apr1990-Mar1991,-0.00437,0.07053
